image_model,epoch,train_loss,val_smape
efficientnet_b0,1,0.6559636810520814,116.732656955719
efficientnet_b0,1,0.6621245190571835,nan
efficientnet_b0,2,0.46531797083915694,114.10049200057983
efficientnet_b0,2,0.46356211658478913,149.40752983093262
efficientnet_b0,3,0.4007227278998678,nan
efficientnet_b0,3,0.4000136939199615,nan
efficientnet_b0,4,0.35060222664433066,nan
efficientnet_b0,4,0.35216182600971646,199.3102788925171
efficientnet_b0,1,0.7366821110531052,126.3824462890625
efficientnet_b0,2,0.5083657505529187,123.95585775375366
efficientnet_b0,3,0.4565587024341262,139.78830575942993
efficientnet_b0,4,0.42960346393746224,94.19066309928894
efficientnet_b0,1,0.7246282423700766,nan
efficientnet_b0,2,0.5059590462330393,139.9234652519226
efficientnet_b0,3,0.4513751253203193,107.10821151733398
efficientnet_b0,4,0.41520092740513703,151.71895027160645
efficientnet_b0,5,0.38258412713405643,72.47388958930969
efficientnet_b0,6,0.35783751119652063,96.82367444038391
efficientnet_b0,7,0.3385064014856002,135.22884845733643
efficientnet_b0,8,0.3233734184178696,163.4863018989563
efficientnet_b0,9,0.3148424623984296,153.87239456176758
efficientnet_b0,10,0.3094748115299437,49.30466711521149
